Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;PCB Board;Board;;;;;;;
C1, C2, C3, C4, C5, C6, C7;7;Capacitor - Generic;CAPC3225X135;100p;;;;;-;
D1, D2, D3, D4, D5;5;Diode Rectifier - Generic;SOD6236X265;DIODE_DO-215-AA;;;;;Top;
J1;1;3 Position Wire to Board Terminal Block Horizontal with Board;TERMBLK_254-3N;2828XX-3282834-3;TE Connectivity AMP Connectors;282834-3;;;Top;
J2;1;4 Position Wire to Board Terminal Block Horizontal with Board;TERMBLK_254-4N;2828XX-4282834-4;TE Connectivity AMP Connectors;282834-4;;;Top;
J3;1;2 Position Wire to Board Terminal Block Horizontal with Board;TERMBLK_254-2N;2828XX-2282834-2;TE Connectivity AMP Connectors;282834-2 ;;;Top;
J4;1;Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections;1X03;455-1750-1-ND;;;;;Top;
J5, J6;2;CONN JACK STEREO 3.5MM SMD R/A;35RASMT4BHNTRX;35RASMT4BHNTRX;Switchcraft Inc.;35RASMT4BHNTRX ;;;Top;
R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14;14;Resistor Fixed - Generic;RESC3224X71;10k;;;;;-;
U$1;1;;ARDUINO-UNO-R3-SHIELD;ARDUINO-UNO-R3-SHIELD;;;;;Top;
