Designator,Mid X,Mid Y,Layer,Rotation
C1 ,2800,1650,Top,0
C2 ,3650,1650,Top,0
C3 ,2700,2900,Bottom,180
C4 ,2700,2700,Bottom,180
C5 ,2700,2500,Bottom,180
C6 ,2700,2300,Bottom,180
C7 ,2700,2100,Bottom,180
D1 ,2700,2899,Top,0
D2 ,2700,2700,Top,0
D3 ,2700,2500,Top,0
D4 ,2700,2300,Top,0
D5 ,2700,2100,Top,0
J1 ,2850,3250,Top,0
J2 ,3350,3250,Top,0
J3 ,3800,3250,Top,0
J4 ,4050,1505,Top,90
J5 ,2500,1509,Top,90
J6 ,3350,1509,Top,90
R1 ,2450,2900,Top,0
R2 ,2450,2700,Top,0
R3 ,2450,2500,Top,0
R4 ,2450,2300,Top,0
R5 ,2450,2100,Top,0
R6 ,3000,1650,Top,0
R7 ,3850,1650,Top,0
R8 ,2800,1500,Top,0
R9 ,3650,1500,Top,0
R10 ,2450,2900,Bottom,180
R11 ,2450,2700,Bottom,180
R12 ,2450,2500,Bottom,180
R13 ,2450,2300,Bottom,180
R14 ,2450,2100,Bottom,180
